,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
1110,2017-11-22,12,2,24,1,18599,70975,59054,30520,364603007,1388386318,1155407725,597581600,19603.366148717672,19565.2745791987,19561.62476928496,19580.0,-40455.0
1111,2017-11-21,17,2,36,0,11534,65429,76963,0,224974831,1275808835,1500783666,0,19505.36075949367,19500.067123163077,19499.133946720875,,-65429.0
1112,2017-11-20,18,2,26,1,53913,46688,70601,30000,1043571149,897310853,1363520090,577361912,19356.577244820357,19313.04216654155,19219.303739718987,19245.39706666667,-16688.0
1113,2017-11-18,13,0,24,0,16866,0,16866,0,323628594,0,323628594,0,19188.224475275703,19188.224475275703,,,0.0
1114,2017-11-15,12,2,38,0,47358,129406,176764,0,887474313,2420987580,3308461893,0,18739.69156214367,18716.83087619651,18708.464677062886,,-129406.0
1115,2017-11-14,8,2,37,0,8369,33383,41752,0,155839720,622512738,778352458,0,18621.068227984226,18642.279603372295,18647.59722014199,,-33383.0
1116,2017-11-13,8,2,44,0,3609,141872,145481,0,66991176,2635966773,2702957949,0,18562.254364089775,18579.45676067665,18579.894362523966,,-141872.0
1117,2017-11-12,20,2,43,0,88053,41958,130011,0,1645502955,776856008,2422358963,0,18687.642158699873,18631.953934667068,18515.086705753372,,-41958.0
1118,2017-11-11,7,2,25,0,13781,16699,30480,0,252386188,305213065,557599253,0,18314.069225745592,18293.93874671916,18277.32588777771,,-16699.0
1119,2017-11-08,24,1,29,0,69395,6403,75798,0,1293912752,117233306,1411146058,0,18645.61930974854,18617.193830971795,18309.121661721067,,-6403.0
1120,2017-11-07,21,0,33,1,92043,0,91749,294,1705681725,0,1700253015,5428710,18531.357354714644,18531.56998986365,,18465.0,294.0
1121,2017-11-06,23,1,43,0,72253,10000,82253,0,1335834147,183000000,1518834147,0,18488.28625801005,18465.39514668158,18300.0,,-10000.0
1122,2017-11-05,20,1,39,1,31501,1000,32001,500,580075781,18450000,589367281,9158500,18414.519570807275,18417.151995250148,18450.0,18317.0,-500.0
1123,2017-11-04,76,10,89,1,316210,114339,330549,100000,5944279568,2166691856,6214471424,1896500000,18798.518604724708,18800.454468172647,18949.71843378025,18965.0,-14339.0
1124,2017-11-01,58,3,65,0,249766,95133,344899,0,4516049247,1713516802,6229566049,0,18081.12091717848,18062.000901713254,18011.802444998055,,-95133.0
1125,2017-10-31,39,1,70,0,216588,17320,233908,0,3886618089,309790812,4196408901,0,17944.752659427115,17940.424872171967,17886.305542725175,,-17320.0
1126,2017-10-30,154,2,160,3,1526434,472524,1279094,719864,27553594962,8448109224,23059004010,12942700176,18050.95730441015,18027.607048426464,17878.688117428956,17979.368569618706,247340.0
1127,2017-10-29,19,0,22,1,226857,0,6857,220000,3918500961,0,118440961,3800060000,17273.0,17273.0,,17273.0,220000.0
1128,2017-10-28,19,0,12,1,226062,0,6062,220000,3718945962,0,99725962,3619220000,16451.0,16451.0,,16451.0,220000.0
1129,2017-10-25,53,4,93,5,814723,1452000,174052,2092671,12835871430,22680160000,2825448614,32690582816,15754.890226494159,16233.359076597799,15619.944903581267,15621.463104329348,640671.0
1130,2017-10-24,31,2,33,2,507291,2030639,32930,2505000,7925205824,31677968400,523356937,39079817287,15622.602853194714,15893.013574248405,15600.0,15600.725463872255,474361.0
1131,2017-10-23,18,2,56,1,9851,70490,80048,293,160103398,1148440268,1303796480,4747186,16252.502081007004,16287.68338996602,16292.243836005107,16202.0,-70197.0
1132,2017-10-22,8,2,58,1,25302,46560,71568,294,421981666,778185189,1195227655,4939200,16677.798830132004,16700.58762295998,16713.59942010309,16800.0,-46266.0
1133,2017-10-21,18,2,60,0,27884,183533,211417,0,469567024,3089000525,3558567549,0,16840.016640367237,16831.9839416887,16830.763541161534,,-183533.0
1134,2017-10-18,24,2,124,2,67769,103798,170980,587,1140393986,1746887706,2877401326,9880366,16827.664359810533,16828.87662884548,16829.68560087863,16831.96933560477,-103211.0
1135,2017-10-17,17,2,97,1,36135,106676,142517,294,610194203,1790858495,2396084098,4968600,16886.514542687146,16812.619533108333,16787.82945554764,16900.0,-106382.0
1136,2017-10-16,22,5,133,1,37378,80234,82612,35000,626126873,1350724280,1383601153,593250000,16751.213895874578,16748.18613518617,16834.811675848145,16950.0,-45234.0
1137,2017-10-15,22,3,74,3,31956,93647,124721,882,524086619,1540489225,2050105164,14470680,16400.25719739642,16437.529878689234,16449.95808728523,16406.666666666668,-92765.0
1138,2017-10-14,21,3,134,2,40495,368842,219043,190294,660192899,6046526135,3604558300,3102160734,16303.071959501172,16455.939244805813,16393.269028472896,16301.936655911379,-178548.0
1139,2017-10-11,16,3,124,0,36086,79206,115292,0,583172583,1281606048,1864778631,0,16160.63246134235,16174.397451687888,16180.668737216878,,-79206.0
1140,2017-10-10,18,3,107,0,28356,41067,69423,0,456118886,662946580,1119065466,0,16085.44526731556,16119.520418305172,16143.04867655295,,-41067.0
1141,2017-10-09,28,3,203,3,18620,255197,272935,882,292433896,4076329478,4355011406,13751968,15705.364983888292,15956.22183303717,15973.26566534873,15591.80045351474,-254315.0
1142,2017-10-08,33,2,200,1,199524,614500,814023,1,3144504881,9812471108,12956960687,15302,15760.033284216435,15917.19237294278,15968.219866558178,15302.0,-614499.0
1143,2017-10-07,32,4,199,0,94987,380003,474990,0,1511753262,6043881887,7555635149,0,15915.370124332803,15906.935196530454,15904.82676978866,,-380003.0
1144,2017-10-04,65,2,88,2,551046,490000,171046,870000,8593236339,7621420000,2682125286,13532531053,15594.408341590357,15680.724986261006,15553.918367346938,15554.633394252873,380000.0
1145,2017-10-03,55,3,204,1,118936,249499,315106,53329,1917374577,4019988163,5077668390,859694350,16121.061554113136,16114.159647864528,16112.241584134606,16120.578859532337,-196170.0
1146,2017-10-02,31,3,228,1,138011,420615,558332,294,2223591179,6770624177,8989481956,4733400,16111.695292404229,16100.603146514977,16096.963201502562,16100.0,-420321.0
1147,2017-09-27,72,2,129,0,160781,56405,217186,0,2602232810,910249679,3512482489,0,16184.95226426008,16172.692940613115,16137.748054250509,,-56405.0
1148,2017-09-26,128,3,192,1,251899,161346,383245,30000,4206704054,2703500988,6405425042,504780000,16699.9632948126,16713.655865047163,16755.921981332045,16826.0,-131346.0
1149,2017-09-25,75,2,301,2,243971,298288,488847,53412,3885888146,4804050791,7827697945,862240992,15927.664132212434,16012.572328356317,16105.41084790538,16143.207369130532,-244876.0
1150,2017-09-24,78,2,239,1,300040,28616,308656,20000,4616452314,436817543,4749093215,304176642,15386.122896947074,15386.362860271629,15264.800915571708,15208.8321,-8616.0
1151,2017-09-23,166,4,437,11,614951,276021,887738,3234,9580539959,4283246415,13813611884,50174490,15579.355036417535,15560.460275441628,15517.828045692175,15514.684601113173,-272787.0
1152,2017-09-20,202,3,409,2,1157360,167000,1314066,10294,18710694003,2698991025,21242957802,166727226,16166.701806698002,16165.822570555816,16161.622904191618,16196.544200505148,-156706.0
1153,2017-09-19,56,3,180,1,306418,245800,332218,220000,4724274945,3795627278,5118922223,3400980000,15417.746167000632,15408.322917481895,15441.933596419854,15459.0,-25800.0
1154,2017-09-18,198,4,426,2,964716,115238,859660,220294,14202362170,1698333893,12639092189,3261603874,14721.806386542776,14702.431413582113,14737.620342248218,14805.686373664284,105056.0
1155,2017-09-17,85,2,538,3,294534,101071,385017,10588,4154281253,1424140999,5429202012,149220240,14104.58980287505,14101.200757369155,14090.500727211564,14093.335851907821,-90483.0
1156,2017-09-16,74,4,506,1,255627,177453,432786,294,3558984837,2472269895,6027167838,4086894,13922.570139304533,13926.439020670725,13931.970127301314,13901.0,-177159.0
1157,2017-09-13,89,3,1274,1,286544,473152,759403,293,3985731064,6589846634,10571504412,4073286,13909.665056675414,13920.809388427488,13927.546822162856,13902.0,-472859.0
1158,2017-09-12,101,4,2992,17,344073,943776,1231337,56512,4805871678,13163780953,17180174637,789477994,13967.59315029078,13952.455450457512,13947.992906155698,13970.094740939978,-887264.0
1159,2017-09-11,229,9,4044,10,919609,1232671,2141293,10987,12839395986,17235948095,29922027955,153316126,13961.798966734776,13973.812997567358,13982.602085227933,13954.321106762538,-1221684.0
1160,2017-09-10,499,8,4344,43,1303502,946067,2237117,12452,18389131602,13346853270,31561382875,174601997,14107.482460326106,14108.060899362885,14107.72521396476,14022.004256344362,-933615.0
1161,2017-09-06,139,2,721,3,463494,67000,287301,220587,6435607676,930295000,3989174385,3062850495,13884.985945880637,13885.0,13885.0,13885.0,153587.0
1162,2017-09-05,1607,9,41057,377,9025022,6322313,14765080,582255,117530926887,81152185387,191067869679,7615242595,13022.785638306477,12940.523835902006,12835.83798951428,13078.878833157294,-5740058.0
1163,2017-09-04,861,7,29091,188,3542863,5108126,8376148,274841,45384075030,65435094060,107298455880,3520713210,12810.0,12810.0,12810.0,12810.0,-4833285.0
1164,2017-09-03,57622,487,0,2,16357107,142599,0,16499706,199556705400,1739707800,0,201296413200,12200.0,,12200.0,12200.0,16357107.0
